Episode Number,Epsilon Value,Learn Step Counter,Total Reward
0,0.9999260027286726,296,705.0
1,0.9999147536230105,341,227.0
2,0.9998675087611578,530,806.0
3,0.9998400127792973,640,585.0
4,0.9996907977741643,1237,725.0
5,0.9995456032126282,1818,956.0
6,0.9994526497822993,2190,769.0
7,0.9994431550260383,2228,236.0
8,0.9994351595117795,2260,239.0
9,0.9992270487840498,3093,1578.0
10,0.9989857645578181,4059,650.0
11,0.9988364273305647,4657,1232.0
12,0.9986304385349752,5482,906.0
13,0.9986057227343879,5581,624.0
14,0.9983096799910544,6767,1139.0
15,0.9982904627122758,6844,634.0
16,0.9982814781374179,6880,232.0
17,0.9982435441572518,7032,612.0
18,0.9982355582398431,7064,250.0
19,0.998181654968354,7280,585.0
20,0.9980104814716527,7966,1233.0
21,0.9980032459209855,7995,252.0
22,0.9979942639310672,8031,244.0
23,0.9979578378006561,8177,638.0
24,0.9979496046814254,8210,247.0
25,0.9979119327901959,8361,637.0
26,0.9978460727677939,8625,791.0
27,0.9978378405706213,8658,245.0
28,0.9978293589839619,8692,239.0
29,0.997778221533323,8897,749.0
30,0.9976649801175795,9351,989.0
31,0.9976557517580398,9388,231.0
32,0.9976357988400374,9468,639.0
33,0.9976091124360112,9575,592.0
34,0.9975856688943979,9669,628.0
35,0.9973510144387393,10610,907.0
36,0.9972510349985837,11011,763.0
37,0.997241311847176,11050,229.0
38,0.9972044145966236,11198,638.0
39,0.996949910620401,12219,1148.0
40,0.9969404396400521,12257,238.0
41,0.9964408484026779,14262,443.0
42,0.9964313822583978,14300,242.0
43,0.9963783236933497,14513,801.0
44,0.9963693563276674,14549,244.0
45,0.9963118176515844,14780,751.0
46,0.9963035981119658,14813,245.0
47,0.9961494320397734,15432,946.0
48,0.996139221559146,15473,224.0
49,0.9961065985297626,15604,577.0
50,0.9960675021081498,15761,636.0
51,0.9958775203284367,16524,622.0
52,0.995840424577075,16673,638.0
53,0.9956007048222836,17636,884.0
54,0.995591993353139,17671,235.0
55,0.9955840286480543,17703,240.0
56,0.9955071227427461,18012,748.0
57,0.9954996564663897,18042,250.0
58,0.9954543622568035,18224,807.0
59,0.9953899086654894,18483,1315.0
60,0.9953829409596439,18511,247.0
61,0.9953747290832272,18544,248.0
62,0.9953490985107406,18647,606.0
63,0.995340886913523,18680,238.0
64,0.9953319288847309,18716,235.0
65,0.9952592722968279,19008,694.0
66,0.994871445529568,20567,483.0
67,0.9948323975867653,20724,636.0
68,0.9947667408070062,20988,1017.0
69,0.9943631960261072,22611,452.0
70,0.9941877063874637,23317,927.0
71,0.9941628520023742,23417,612.0
72,0.9941389923772569,23513,596.0
73,0.9941297966329571,23550,233.0
74,0.9940922689367776,23701,637.0
75,0.9940510149584803,23867,738.0
76,0.994042068538485,23903,242.0
77,0.9940316311502557,23945,231.0
78,0.9938855192216826,24533,1348.0
79,0.9938472553609874,24687,589.0
80,0.9938129682178435,24825,610.0
81,0.9938045208424579,24859,241.0
82,0.9934669330652278,26218,800.0
83,0.9934579919019466,26254,230.0
84,0.9934192477909289,26410,768.0
85,0.9933790151210758,26572,635.0
86,0.9933551743078205,26668,596.0
87,0.9933184208417153,26816,638.0
88,0.993269749425463,27012,804.0
89,0.993244917989014,27112,631.0
90,0.9930289106839659,27982,572.0
91,0.9929874525872016,28149,1047.0
92,0.992894612589105,28523,1272.0
93,0.9928849319126142,28562,245.0
94,0.9928424869837302,28733,575.0
95,0.992757850758794,29074,1001.0
96,0.9926682583944677,29435,771.0
97,0.9926590762543959,29472,243.0
98,0.9925116773077692,30066,979.0
99,0.992457338774168,30285,601.0
100,0.9924484066971956,30321,244.0
101,0.9924201223171194,30435,597.0
102,0.9924124310900126,30466,250.0
103,0.9919151089484666,32471,443.0
104,0.9918932870533808,32559,623.0
105,0.9918836161397675,32598,223.0
106,0.9918761770396123,32628,243.0
107,0.9918541080374301,32717,631.0
108,0.9918119551283192,32887,598.0
109,0.9918017891066078,32928,230.0
110,0.9917913752411914,32970,220.0
111,0.9916366678347854,33594,1227.0
112,0.9913798671628026,34630,1152.0
113,0.9909363238669516,36420,713.0
114,0.9908756308682615,36665,1020.0
115,0.9908233635507553,36876,708.0
116,0.9907691174498129,37095,624.0
117,0.9907614390179457,37126,244.0
118,0.9906645968084031,37517,1285.0
119,0.9906541948834451,37559,230.0
120,0.990644040728717,37600,232.0
121,0.990497683865764,38191,681.0
122,0.9904882741812858,38229,236.0
123,0.9904793598258173,38265,240.0
124,0.9902849972995758,39050,911.0
125,0.9900985936713,39803,1215.0
126,0.990010726309287,40158,1298.0
127,0.9900000837498513,40201,222.0
128,0.9899641968927777,40346,639.0
129,0.9899555347428679,40381,243.0
130,0.9899439028322167,40428,223.0
131,0.9898132388447038,40956,1259.0
132,0.9898045780156713,40991,237.0
133,0.9897964121605651,41024,252.0
134,0.9897887412671356,41055,242.0
135,0.9897793383175812,41093,240.0
136,0.9897686982455532,41136,222.0
137,0.98965562361714,41593,659.0
138,0.9896467167554938,41629,228.0
139,0.9895603738354167,41978,1292.0
140,0.9895512204431478,42015,240.0
141,0.9895423145211261,42051,235.0
142,0.9895185657875916,42147,611.0
143,0.9893110360078902,42986,913.0
144,0.9889959905771456,44260,1115.0
145,0.9889875841459008,44294,250.0
146,0.9888839931091732,44713,1299.0
147,0.9888417192167887,44884,809.0
148,0.9888226841945247,44961,619.0
149,0.9885218806172811,46178,1128.0
150,0.988514219601434,46209,246.0
151,0.9884255044202764,46568,722.0
152,0.9883135715562121,47021,753.0
153,0.9883049238492126,47056,249.0
154,0.9882824401651344,47147,616.0
155,0.9882668748373313,47210,614.0
156,0.9882587216682256,47243,250.0
157,0.9882014043174157,47475,1032.0
158,0.9881828757124721,47550,653.0
159,0.988082580228118,47956,710.0
160,0.9880749226168364,47987,245.0
161,0.9880376234878655,48138,637.0
162,0.9880121818434392,48241,603.0
163,0.9878842425341293,48759,1631.0
164,0.9878479384507646,48906,638.0
165,0.9875854527076139,49969,631.0
166,0.9875760706892037,50007,245.0
167,0.9874681838834042,50444,986.0
168,0.9874462129579908,50533,621.0
169,0.9874109123824618,50676,639.0
170,0.9873454985681869,50941,734.0
171,0.9869671708601945,52474,1055.0
172,0.9869274462260597,52635,767.0
173,0.9869042537006844,52729,618.0
174,0.9868669987636364,52880,637.0
175,0.9868415872624128,52983,713.0
176,0.9867369875849539,53407,723.0
177,0.9866738384306404,53663,1133.0
178,0.9865941677249652,53986,1016.0
179,0.9865732028190303,54071,635.0
180,0.9864045132036116,54755,1234.0
181,0.9859102017766612,56760,443.0
182,0.9855849050462789,58080,1637.0
183,0.9855188730614738,58348,790.0
184,0.9852949393149831,59257,1194.0
185,0.9851437081301639,59871,642.0
186,0.9851195724019582,59969,622.0
187,0.9850961760870184,60064,606.0
188,0.9850365795637204,60306,1023.0
189,0.9849851127405799,60515,626.0
190,0.9849503926229567,60656,639.0
191,0.9849420205791529,60690,247.0
192,0.9848969605068297,60873,720.0
193,0.9847571150502001,61441,730.0
194,0.984747267527055,61481,236.0
195,0.9847371739180296,61522,232.0
196,0.9847056628287012,61650,731.0
197,0.9846970466907689,61685,244.0
198,0.9846579057561957,61844,636.0
199,0.984581351570526,62155,781.0
200,0.9844895436286151,62528,1301.0
201,0.9844796987811711,62568,232.0
202,0.9844403203758656,62728,635.0
203,0.9844324448838191,62760,248.0
204,0.9842353319986509,63561,1304.0
205,0.9841937489291189,63730,727.0
206,0.9841570883901902,63879,738.0
207,0.9840896759301044,64153,745.0
208,0.983953388931026,64707,695.0
209,0.9839322341579313,64793,636.0
210,0.9838185965333646,65255,751.0
211,0.9838092502999225,65293,239.0
212,0.9837991663055258,65334,236.0
213,0.9835045625374668,66532,856.0
214,0.98340400432449,66941,1277.0
215,0.9833936786353625,66983,231.0
216,0.9833565562200387,67134,813.0
217,0.9833307434460018,67239,597.0
218,0.9832139798385825,67714,976.0
219,0.9832046393489733,67752,238.0
220,0.9831665409025927,67907,636.0
221,0.9831574466530123,67944,230.0
222,0.9831505645741118,67972,248.0
