Episode Number,Epsilon Value,Learn Step Counter,Total Reward
0,0.9997822736785664,871,626.0
1,0.9996345667412654,1462,952.0
2,0.9993921847185073,2432,650.0
3,0.999353209178454,2588,747.0
4,0.9992235514950616,3107,978.0
5,0.999214558522441,3143,236.0
6,0.9991833335514734,3268,1050.0
7,0.9991618513380485,3354,618.0
8,0.9991366228166563,3455,597.0
9,0.9991281301903934,3489,240.0
10,0.9990881658594766,3649,636.0
11,0.999059442484014,3764,588.0
12,0.9990494519382919,3804,236.0
13,0.9990104897645581,3960,600.0
14,0.9990004997083606,4000,232.0
15,0.9989812691314297,4077,608.0
16,0.9989715291103193,4116,230.0
17,0.9989620389246836,4154,235.0
18,0.9988361776214578,4658,1257.0
19,0.9985061167690104,5980,905.0
20,0.9980663716305196,7742,1000.0
21,0.9978298578988285,8690,1177.0
22,0.9977749787589667,8910,1424.0
23,0.9977645021753809,8952,226.0
24,0.9976310600806545,9487,971.0
25,0.9975884122591028,9658,633.0
26,0.997439034560608,10257,1615.0
27,0.9973233383286331,10721,1281.0
28,0.9972979069045752,10823,603.0
29,0.9972620048216755,10967,749.0
30,0.9972363256524582,11070,598.0
31,0.9972273505647922,11106,237.0
32,0.9969571385343586,12190,1141.0
33,0.9969055473309173,12397,569.0
34,0.9968305330015432,12698,783.0
35,0.9968078553620388,12789,603.0
36,0.9967986349308674,12826,236.0
37,0.9967901621774193,12860,244.0
38,0.9967801943243894,12900,234.0
39,0.9967704757636566,12939,235.0
40,0.9967612556782449,12976,241.0
41,0.9967206384795742,13139,635.0
42,0.9966511196308386,13418,788.0
43,0.9966045272742702,13605,747.0
44,0.9965684010104283,13750,638.0
45,0.9965474732911304,13834,625.0
46,0.9965392518073602,13867,246.0
47,0.9965140895057788,13968,624.0
48,0.9965053700445516,14003,237.0
49,0.9964978962813683,14033,252.0
50,0.9964906716969049,14062,248.0
51,0.9962313687104112,15103,597.0
52,0.9962054670283068,15207,629.0
53,0.9961974974154518,15239,245.0
54,0.9959848319259893,16093,1554.0
55,0.9959325440883382,16303,626.0
56,0.9958892219595119,16477,584.0
57,0.9958800100256612,16514,241.0
58,0.9958703002416837,16553,233.0
59,0.9958598436571198,16595,231.0
60,0.9958506319950171,16632,234.0
61,0.9958406735372434,16672,218.0
62,0.9957565285449755,17010,725.0
63,0.9957468199649366,17049,237.0
64,0.9957199351603798,17157,622.0
65,0.9956947935462851,17258,595.0
66,0.9956417742035472,17471,801.0
67,0.995557148238804,17811,1005.0
68,0.9954807421502366,18118,744.0
69,0.9954707873913432,18158,237.0
70,0.9953879178874138,18491,777.0
71,0.995214735435339,19187,1587.0
72,0.9951624880266962,19397,597.0
73,0.9950669570014534,19781,767.0
74,0.9950400905529511,19889,618.0
75,0.9947878798274946,20903,869.0
76,0.9947806676406072,20932,251.0
77,0.9947413745753617,21090,636.0
78,0.9945690505386529,21783,1604.0
79,0.994560596736594,21817,248.0
80,0.994553137559157,21847,250.0
81,0.9944163958868358,22397,703.0
82,0.994373885489258,22568,633.0
83,0.9942538220765346,23051,1280.0
84,0.9942073417910211,23238,806.0
85,0.9941877063874637,23317,626.0
86,0.9941800014616317,23348,249.0
87,0.9941094171784659,23632,1013.0
88,0.9940684110056339,23797,635.0
89,0.9940438081138447,23896,607.0
90,0.9939307420472776,24351,676.0
91,0.9939215482292847,24388,228.0
92,0.9939111121065121,24430,231.0
93,0.9937945828456959,24899,750.0
94,0.9932965680741035,26904,267.0
95,0.993256340372679,27066,599.0
96,0.9932461595460929,27107,229.0
97,0.9932260465124901,27188,635.0
98,0.9931299565288934,27575,716.0
99,0.993105376863568,27674,634.0
100,0.9930276693984482,27987,1316.0
101,0.9930182356792183,28025,240.0
102,0.9930020992619778,28090,611.0
103,0.9929611387650762,28255,1324.0
104,0.9929512092020932,28295,241.0
105,0.9929415279737881,28334,238.0
106,0.9929201799577575,28420,633.0
107,0.9928849319126142,28562,1042.0
108,0.9928769888639372,28594,242.0
109,0.9923905982539584,30554,408.0
110,0.9923546247422935,30699,638.0
111,0.9920081053607068,32096,458.0
112,0.9919897533782175,32170,607.0
113,0.9919813215000941,32204,248.0
114,0.9919723937072584,32240,249.0
115,0.9919483386653694,32337,648.0
116,0.991924780169136,32432,595.0
117,0.9917115392389363,33292,672.0
118,0.9916388990200773,33585,785.0
119,0.9916287347721824,33626,230.0
120,0.9914864462403825,34200,966.0
121,0.9914790101189906,34230,247.0
122,0.9914366252919862,34401,777.0
123,0.9914277024013951,34437,243.0
124,0.991397216464455,34560,597.0
125,0.9912832123256586,35020,738.0
126,0.9912358796764222,35211,805.0
127,0.9912269585925346,35247,230.0
128,0.9911432034427521,35585,1012.0
129,0.9911345309765791,35620,245.0
130,0.9910371567803105,36013,750.0
131,0.9910289807564702,36046,244.0
132,0.9910190705149736,36086,234.0
133,0.99098785390201,36212,593.0
134,0.9909801737749419,36243,248.0
135,0.9909606021073316,36322,652.0
136,0.990941030826258,36401,628.0
137,0.9909056053132075,36544,639.0
138,0.9908270791458004,36861,1009.0
139,0.990806767396332,36943,604.0
140,0.9907988409729066,36975,246.0
141,0.9906839149588098,37439,697.0
142,0.9906556808660378,37553,620.0
143,0.9905932715162489,37805,793.0
144,0.9905858420936431,37835,247.0
145,0.9905774221487165,37869,239.0
146,0.9905670211390878,37911,224.0
147,0.9904952076243398,38201,786.0
148,0.9904716836395632,38296,603.0
149,0.9904640075127995,38327,251.0
150,0.9904451888730792,38403,611.0
151,0.9904177043969973,38514,599.0
152,0.9904095334836186,38547,241.0
153,0.9904013626376497,38580,245.0
154,0.9902934147588803,39016,985.0
155,0.9902057776587061,39370,692.0
156,0.9901968658456951,39406,228.0
157,0.9901869639253074,39446,238.0
158,0.9901656751317743,39532,621.0
159,0.9901466146236009,39609,614.0
160,0.990137703343055,39645,245.0
161,0.9901290396749702,39680,251.0
162,0.9900463673414297,40014,1286.0
163,0.9900389420205904,40044,248.0
164,0.9900186464277693,40126,622.0
165,0.9899864713405818,40256,591.0
166,0.9899379631858752,40452,804.0
167,0.9897803280975384,41089,623.0
168,0.9897716675564736,41124,236.0
169,0.9897642442958752,41154,249.0
170,0.9896647779751429,41556,763.0
171,0.9896576029306142,41585,251.0
172,0.9896170277956126,41749,605.0
173,0.9896086160855735,41783,231.0
174,0.989545035766573,42040,792.0
175,0.9895029809909607,42210,634.0
176,0.9894765121369297,42317,601.0
177,0.9892788839176708,43116,655.0
178,0.9892313996649317,43308,1032.0
179,0.9892232385385279,43341,249.0
180,0.9892158193911321,43371,248.0
181,0.9889344274851987,44509,1137.0
182,0.988900309831714,44647,586.0
183,0.9888800375806168,44729,639.0
184,0.9888533381767046,44837,600.0
185,0.9887962335381918,45068,621.0
186,0.9887687948199914,45179,592.0
187,0.9887586599905173,45220,234.0
188,0.9887198519698686,45377,636.0
189,0.9887112007079305,45412,244.0
190,0.9886298825457513,45741,778.0
191,0.9886073914689458,45832,616.0
192,0.9885972582938478,45873,229.0
193,0.9885735322413933,45969,618.0
194,0.9885648822597474,46004,235.0
195,0.9885567266320904,46037,250.0
196,0.9885483239345737,46071,247.0
197,0.9885394270385818,46107,233.0
198,0.9885302830900283,46144,239.0
199,0.9884897541741984,46308,635.0
200,0.9884628181920309,46417,601.0
201,0.9884514509335609,46463,217.0
202,0.9884262457397754,46565,599.0
203,0.9883889333486054,46716,637.0
204,0.9883513752780464,46868,637.0
205,0.9883155481855792,47013,638.0
206,0.9883054180018599,47054,234.0
207,0.9882834284481924,47143,625.0
208,0.9881729939318873,47590,754.0
209,0.9880489859872917,48092,973.0
210,0.988023544050285,48195,599.0
211,0.9879956327759212,48308,620.0
212,0.987986493857442,48345,231.0
213,0.9879650053821996,48432,624.0
214,0.9879400595776342,48533,605.0
215,0.9879007897358449,48692,636.0
216,0.9877602708255648,49261,957.0
217,0.9877219958518628,49416,603.0
218,0.9876170559517043,49841,996.0
219,0.9875896499552321,49952,585.0
220,0.9875452094153425,50132,735.0
221,0.9874254768026544,50617,1087.0
222,0.9874020257231284,50712,599.0
223,0.9873943733861243,50743,245.0
224,0.9873837589523349,50786,230.0
225,0.9873741320064118,50825,239.0
226,0.9872149307436496,51470,1248.0
227,0.987071548170428,52051,632.0
228,0.9870619242685456,52090,241.0
229,0.987054274567318,52121,247.0
230,0.9869417567795721,52577,1286.0
231,0.9866656984040324,53696,1136.0
232,0.9864634526414496,54516,1022.0
233,0.9864545745092163,54552,239.0
234,0.9864459430683719,54587,245.0
235,0.9864193093841324,54695,598.0
236,0.9863944026079029,54796,586.0
237,0.986357413506726,54946,637.0
238,0.9860171788503422,56326,805.0
239,0.9860085512366935,56361,248.0
240,0.9856736116905731,57720,1104.0
241,0.9855866298215878,58073,999.0
242,0.9855302065950997,58302,622.0
243,0.9854420055776267,58660,1301.0
244,0.9854025886808138,58820,635.0
245,0.9853944591419742,58853,241.0
246,0.9853848515916322,58892,236.0
247,0.9853762295108235,58927,245.0
248,0.9853227742936692,59144,583.0
249,0.9852850864136217,59297,637.0
250,0.9852772041634731,59329,247.0
251,0.9852296656792985,59522,805.0
252,0.9852212912616836,59556,238.0
253,0.9851294236481711,59929,997.0
254,0.9850705639161949,60168,1310.0
255,0.9850447061500407,60273,603.0
256,0.9850363333045754,60307,238.0
257,0.9849183822513622,60786,710.0
258,0.9849001614275534,60860,609.0
259,0.9848930209263739,60889,248.0
260,0.9848664291704716,60997,595.0
261,0.9847645007571837,61411,699.0
262,0.9847467751534827,61483,615.0
263,0.9845281856063822,62371,1773.0
264,0.9845195710213689,62406,233.0
265,0.9844582865779018,62655,1311.0
266,0.9844319526676581,62762,730.0
267,0.9843977442473968,62901,640.0
268,0.9843763338266193,62988,623.0
269,0.9842825764343563,63369,1660.0
270,0.9842535405229997,63487,594.0
271,0.9841952252210343,63724,687.0
272,0.984186613549412,63759,233.0
273,0.9841696364746314,63828,608.0
274,0.9841607789866537,63864,249.0
275,0.984153397807567,63894,252.0
276,0.984143556321565,63934,231.0
277,0.9840311243289873,64391,752.0
278,0.9840094758796767,64479,613.0
279,0.9838176127151368,65259,940.0
280,0.9838080205389744,65298,235.0
281,0.9837999041552695,65331,243.0
282,0.9837627664052198,65482,637.0
283,0.9837539125790564,65518,237.0
284,0.98374579664174,65551,250.0
285,0.9835387399191206,66393,911.0
286,0.983529396344304,66431,241.0
287,0.9835060377956016,66526,621.0
288,0.9834957110351283,66568,225.0
289,0.9834851385117389,66611,217.0
290,0.9834322775995787,66826,624.0
291,0.9834234267478016,66862,241.0
292,0.9833899909155207,66998,591.0
293,0.983353606154426,67146,608.0
294,0.9833179602278284,67291,639.0
295,0.9832941150534329,67388,609.0
296,0.983154251396103,67957,958.0
297,0.9831321306715376,68047,627.0
298,0.9830952639032801,68197,616.0
299,0.9829841804008942,68649,982.0
300,0.9829750878381408,68686,234.0
301,0.9829657496179944,68724,229.0
302,0.9829571487042381,68759,236.0
303,0.9828790067073231,69077,679.0
304,0.9828691779651698,69117,231.0
305,0.9827593484576268,69564,981.0
306,0.9824576876072092,70792,827.0
307,0.9823921107370076,71059,1304.0
308,0.9823727086819884,71138,610.0
309,0.9821153607141674,72186,865.0
310,0.9820615913633888,72405,1029.0
311,0.9820498066935257,72453,230.0
312,0.9816043026193692,74268,997.0
313,0.9815431996457347,74517,794.0
314,0.9815353473305642,74549,248.0
315,0.9815272496963382,74582,248.0
316,0.9815176798511092,74621,237.0
317,0.9814818551051171,74767,621.0
318,0.9814717949664016,74808,236.0
319,0.9814349904595736,74958,637.0
320,0.9814256668702844,74996,238.0
321,0.9814175701409186,75029,244.0
322,0.9814087374214292,75065,246.0
323,0.981401867583452,75093,247.0
324,0.9813942617474992,75124,246.0
325,0.9813714445933086,75217,627.0
326,0.9813280198622305,75394,795.0
327,0.9813201692684915,75426,241.0
328,0.9811602270965267,76078,713.0
329,0.981120000346836,76242,811.0
330,0.9810599085796239,76487,795.0
331,0.9806325047983365,78230,721.0
332,0.9806214727433324,78275,223.0
333,0.980461889565107,78926,713.0
334,0.9804356625570668,79033,609.0
335,0.9803390943882808,79427,659.0
336,0.980311155118731,79541,605.0
337,0.9802910589435228,79623,626.0
338,0.9802552789683822,79769,638.0
339,0.980164119455013,80141,769.0
340,0.980135940138132,80256,587.0
341,0.9799708011249062,80930,936.0
342,0.9799338079207854,81081,637.0
343,0.9798483124151414,81430,774.0
344,0.9797701726183132,81749,673.0
345,0.9797319623219052,81905,812.0
346,0.9797064896188438,82009,584.0
347,0.9796753844277032,82136,732.0
348,0.9795299134164014,82730,1235.0
349,0.9795117922783566,82804,610.0
350,0.9794848560710726,82914,595.0
351,0.9794757958769233,82951,242.0
352,0.9794422494012032,83088,739.0
353,0.9789514269349263,85093,358.0
354,0.9789330717654546,85168,653.0
355,0.9789232824824584,85208,232.0
356,0.9789134932973548,85248,231.0
357,0.9788897549300007,85345,592.0
358,0.978868219589587,85433,628.0
359,0.9786435950817322,86351,890.0
360,0.9785254309871396,86834,696.0
361,0.9785002342785478,86937,597.0
362,0.9784928955533926,86967,246.0
363,0.978436633822398,87197,716.0
364,0.9783992093322191,87350,637.0
365,0.9783747496546721,87450,618.0
366,0.9783104236215738,87713,791.0
367,0.9783013742908762,87750,238.0
368,0.9780866606780314,88628,898.0
369,0.9780783469757085,88662,249.0
370,0.9780688107571213,88701,238.0
371,0.9780607417217076,88734,240.0
372,0.9779910573676746,89019,1024.0
373,0.977915265988198,89329,686.0
374,0.9777006371168351,90207,668.0
375,0.9776918378495967,90243,238.0
376,0.9776700844454899,90332,650.0
377,0.977484344752031,91092,918.0
378,0.9772639468555053,91994,1554.0
379,0.9772001824553298,92255,742.0
380,0.9771916319900718,92290,236.0
381,0.9771520565254325,92452,811.0
382,0.9771417964814203,92494,227.0
383,0.9771330022437257,92530,237.0
384,0.9769173239128645,93413,899.0
385,0.9767690879380992,94020,960.0
386,0.9767317272303384,94173,617.0
387,0.9765766833561719,94808,717.0
388,0.9765678942044731,94844,245.0
389,0.976280337268482,96022,1382.0
390,0.976259835594102,96106,620.0
391,0.9761636787240665,96500,1659.0
392,0.9761363465202944,96612,620.0
393,0.9761268292361215,96651,231.0
394,0.975954558032584,97357,1215.0
395,0.9759040536846971,97564,802.0
396,0.9758964904566422,97595,248.0
397,0.9758874634547258,97632,240.0
398,0.9758142746304231,97932,1298.0
399,0.9758054923403733,97968,229.0
400,0.9757681684894436,98121,637.0
401,0.9757588987347143,98159,238.0
402,0.975721332735562,98313,589.0
403,0.9756988914001771,98405,622.0
404,0.975656937244617,98577,1340.0
405,0.9756479124585579,98614,237.0
406,0.9756391316657606,98650,237.0
407,0.9756305948596387,98685,237.0
408,0.9756118141491021,98762,607.0
409,0.9755927899018326,98840,632.0
410,0.9755827901257337,98881,229.0
411,0.9755596203067116,98976,618.0
412,0.9755040149861619,99204,707.0
413,0.9754947477408793,99242,241.0
414,0.9754162235645003,99564,701.0
415,0.9754076887088161,99599,237.0
416,0.9753979346794787,99639,232.0
417,0.9753067392246277,100013,769.0
418,0.9752345691872171,100309,1128.0
419,0.9752265235342041,100342,242.0
420,0.9752189655569891,100373,250.0
421,0.9750885387265144,100908,638.0
422,0.9750807380484313,100940,246.0
423,0.9750556300395515,101043,620.0
424,0.9750361291195203,101123,652.0
425,0.9749949347081479,101292,774.0
426,0.9749549607302944,101456,730.0
427,0.974947161120831,101488,247.0
428,0.974937411696747,101528,222.0
429,0.9749137697482149,101625,623.0
430,0.9748781860405726,101771,638.0
431,0.9746242633162033,102813,1168.0
432,0.9746140298138836,102855,230.0
433,0.9745367947028374,103172,1295.0
434,0.9743998818843989,103734,1265.0
435,0.9742856401815032,104203,676.0
436,0.9740343068782746,105235,1521.0
437,0.9739994857698776,105378,639.0
438,0.9739887718331202,105422,239.0
439,0.9739505435192777,105579,812.0
440,0.9738256423558997,106092,702.0
441,0.9738012970161122,106192,594.0
442,0.9737803605106747,106278,629.0
443,0.9737603982154005,106360,613.0
444,0.9737526081624002,106392,241.0
445,0.973742140376817,106435,222.0
446,0.9737338636027644,106469,251.0
447,0.9734970316166641,107442,649.0
448,0.9734624730811349,107584,639.0
449,0.9732067293841291,108635,595.0
450,0.9731536910560482,108853,624.0
451,0.9731466357164809,108882,249.0
452,0.9731237670363878,108976,615.0
453,0.9728413588141417,110137,1378.0
454,0.9728048779426416,110287,622.0
455,0.9727961227370429,110323,246.0
456,0.9726669926067925,110854,966.0
457,0.9726419467510653,110957,627.0
458,0.9725466324988297,111349,995.0
459,0.9725291268148057,111421,627.0
